Burst Name,x_min,y_min,x_max,y_max,num_clusters,has_multiple_clusters
GRB041217,299.5440246582031,66.86155490875244,363.04443206787107,400.5929702758789,2,False
GRB041219C,287.4567413330078,66.28221048627582,373.55489349365234,410.25230298723494,2,True
GRB041219C,296.5917489188058,67.63761792864118,348.661121913365,380.328127179827,2,True
GRB041220,302.094763930963,66.49101374100665,346.02022505779655,391.8485649264589,2,False
GRB041223,333.8220684344952,322.2308857257551,355.9920454758864,405.28020535982574,2,True
GRB041223,271.6406629973767,73.91266351587649,339.3541445264629,401.1231126972273,2,True
GRB041224,309.0880579267229,71.99338456562587,360.24165071759904,341.65474809919084,3,True
GRB041224,261.598331451416,252.23302154541017,304.59664154052734,345.9179122924805,3,True
GRB041224,366.61121368408203,269.32530212402344,387.1382141113281,319.5232696533203,3,True
GRB041226,296.9394583702088,108.84287160634993,346.82357120513916,320.8047103881836,2,True
GRB041226,521.072736467634,195.11237226213728,545.7447335379464,308.7273385184152,2,True
GRB041228,264.56118560791015,71.43064201354979,357.5200164794922,356.9397033691406,2,True
GRB041228,400.7347513834635,281.53884548611103,425.63022867838544,356.30047607421875,2,True
GRB050117,270.21721903483075,209.55431874593097,299.1575813293457,384.81294504801434,4,True
GRB050117,345.7942552753523,169.8260866052964,375.0953231512332,389.44375131644455,4,True
GRB050117,292.41584564208983,66.81170082092285,347.1362823486328,390.88776428222656,4,True
GRB050124,312.5595623513927,66.28855290620223,358.7543925409732,397.7772329579229,2,False
GRB050126,287.9779731750488,67.43669805526733,373.0582649230957,317.39757461547856,3,True
GRB050126,297.96959062056106,76.76536698774858,369.79489968039775,415.42226617986506,3,True
GRB050128,265.787124932981,72.2142390830844,346.3633572447534,392.38309374042586,2,True
GRB050128,355.84136385531036,313.29696077913854,384.3222697489971,388.5007513922614,2,True
GRB050202,318.35121188693574,69.12412261962892,343.32567409939236,319.10374145507814,2,False
GRB050215A,260.9356686062283,68.60351740519205,299.28983289930557,347.7254116482205,3,True
GRB050215A,336.553632331617,176.96413745302146,370.853231719046,333.8706725149444,3,True
GRB050215B,286.5689531409222,67.72434309254523,345.0053074048913,347.3588479083517,2,False
GRB050219A,270.5489885046127,67.39183450252452,375.51975266476893,390.66642144385804,2,False
GRB050219B,301.01277923583984,68.6587931026112,361.3548258001154,399.76094124533915,2,False
GRB050223,286.4407748518319,65.98709790459995,384.83351503569503,317.2621533624057,5,True
GRB050223,276.6330223083496,60.75954818725586,388.9872245788574,403.4278259277344,5,True
GRB050223,320.5849173409598,90.50720160348075,349.76065717424666,278.5797674996512,5,True
GRB050306,293.8152170817057,67.84031757778591,363.09693806966146,377.0019773695204,3,True
GRB050306,368.2294342041016,261.3009023030599,387.20563049316405,374.9523620605469,3,True
GRB050306,286.7387897388355,191.45026459565034,308.92370605468744,368.86159783440667,3,True
GRB050315,313.0220235188802,69.85249738340028,371.1399462664569,371.429547769052,3,True
GRB050315,268.64880648526275,270.66228970614355,294.9726645729759,377.86473222212356,3,True
GRB050318,349.6854162881541,67.28004517666126,398.79245491914975,391.1473906760992,3,True
GRB050318,263.39965997740285,172.83782320244364,300.18745528819954,394.2626612463663,3,True
GRB050319,258.68655056423614,108.96065826416014,285.11079135470914,304.18888617621525,5,True
GRB050319,296.4166564941406,222.21222029061153,311.05809178845635,303.4795563796471,5,True
GRB050319,277.5473175048828,89.7307014465332,430.95928955078125,417.7223358154297,5,True
GRB050319,361.337760925293,67.9828310879794,386.5795742381702,305.07688071511006,5,True
GRB050319,229.38706715901696,122.9724572499593,256.8548355102539,413.14745839436847,5,True
GRB050326,300.9987512588501,91.29544167518621,362.6341159820557,400.0638080596924,2,True
GRB050326,270.32752176920576,324.6130137125652,292.4103597005208,403.5428487141927,2,True
GRB050401,266.79354547571256,184.15818362765845,318.8816895661531,398.48055634675205,2,True
GRB050401,346.5665569694675,66.02707407425865,404.8966699716997,402.6671005560427,2,True
GRB050406,308.880893139129,65.57310234232152,349.63148985517785,325.77389104315574,2,True
GRB050406,234.0311228434245,223.22153049045136,272.73860677083337,329.08748033311633,2,True
