,Burst_Name,Burst_PNG,Simple,Extended,Other,Too_Noisy,Count,Simple_Proportion,Extended_Proportion,Other_Proportion,Too_Noisy_Proportion,Follow,95%_Verify,99%_Verify,Prop_Verify
821,GRB140706A,GRB140706A_603587.png,0,3,17,1,21,0.0,0.143,0.81,0.048,"[15, 4, 9, 0, 0, 1]",Other,Other,Other
822,GRB140709A,GRB140709A_603810.png,0,3,12,1,16,0.0,0.188,0.75,0.062,"[7, 5, 12, 0, 0, 1]",Other,Other,Other
823,GRB140709B,GRB140709B_603866.png,1,17,26,6,50,0.02,0.34,0.52,0.12,"[24, 1, 32, 0, 2, 8]",Extended/Other,None,None
824,GRB140710A,GRB140710A_603954.png,15,3,0,0,18,0.833,0.167,0.0,0.0,"[8, 11, 0, 0, 0, 0]",Simple,Simple,Simple
825,GRB140713A,GRB140713A_604232.png,3,3,16,0,22,0.136,0.136,0.727,0.0,"[12, 4, 9, 0, 1, 1]",Other,Other,Other
826,GRB140716A-2,,18,0,4,4,26,0.692,0.0,0.154,0.154,"[19, 1, 1, 0, 2, 7]",Simple,None,None
827,GRB140719A,GRB140719A_605612.png,14,10,16,3,43,0.326,0.233,0.372,0.07,"[14, 18, 23, 0, 3, 6]",None,None,None
828,GRB140719B,GRB140719B_605700.png,18,15,14,7,54,0.333,0.278,0.259,0.13,"[10, 19, 19, 0, 3, 11]",None,None,None
829,GRB140730A,GRB140730A_607742.png,2,4,12,4,22,0.091,0.182,0.545,0.182,"[11, 5, 11, 0, 0, 4]",Other,None,None
830,GRB140817A,GRB140817A_609736.png,13,21,16,3,53,0.245,0.396,0.302,0.057,"[33, 6, 21, 0, 2, 5]",Extended,None,None
831,GRB140818B,GRB140818B_609885.png,20,19,2,1,42,0.476,0.452,0.048,0.024,"[13, 17, 5, 0, 4, 7]",Extended,Extended,Simple/Extended
832,GRB140824A,GRB140824A_610501.png,12,0,0,1,13,0.923,0.0,0.0,0.077,"[9, 3, 1, 0, 0, 1]",Simple,Simple,Simple
833,GRB140828A,GRB140828A_610953.png,22,9,8,1,40,0.55,0.225,0.2,0.025,"[30, 3, 8, 0, 2, 4]",None,None,None
834,GRB140903A,GRB140903A_611599.png,13,0,0,0,13,1.0,0.0,0.0,0.0,"[11, 0, 1, 0, 1, 1]",Simple,Simple,Simple
835,GRB140907A,GRB140907A_611933.png,21,2,6,0,29,0.724,0.069,0.207,0.0,"[22, 1, 9, 0, 1, 1]",Simple,None,Simple
836,GRB140916A,GRB140916A_612804.png,3,18,12,18,51,0.059,0.353,0.235,0.353,"[6, 8, 14, 0, 7, 29]",Extended/Too_Noisy,None,None
837,GRB140919A,GRB140919A_613160.png,1,14,12,5,32,0.031,0.438,0.375,0.156,"[8, 9, 18, 0, 0, 5]",Extended,None,None
838,GRB140927A,GRB140927A_613775.png,0,2,15,1,18,0.0,0.111,0.833,0.056,"[10, 0, 6, 0, 4, 5]",Other,Other,Other
839,GRB140930B,GRB140930B_614094.png,11,1,0,0,12,0.917,0.083,0.0,0.0,"[7, 4, 1, 0, 0, 0]",Simple,Simple,Simple
840,GRB141004A,GRB141004A_614390.png,18,6,0,2,26,0.692,0.231,0.0,0.077,"[10, 14, 4, 0, 0, 2]",Simple,None,None
841,GRB141005A,GRB141005A_614415.png,15,2,0,0,17,0.882,0.118,0.0,0.0,"[11, 5, 0, 0, 1, 1]",Simple,Simple,Simple
842,GRB141015A,GRB141015A_615399.png,21,18,4,1,44,0.477,0.409,0.091,0.023,"[2, 32, 15, 0, 0, 1]",Extended,None,Simple/Extended
843,GRB141017A,GRB141017A_615672.png,13,9,25,2,49,0.265,0.184,0.51,0.041,"[27, 18, 16, 0, 1, 3]",Other,None,None
844,GRB141020A,GRB141020A_615873.png,2,3,14,4,23,0.087,0.13,0.609,0.174,"[12, 1, 14, 0, 0, 4]",Other,None,None
845,GRB141022A,GRB141022A_616061.png,26,6,16,10,58,0.448,0.103,0.276,0.172,"[32, 1, 11, 0, 6, 18]",None,None,None
846,GRB141026A,GRB141026A_616502.png,3,2,13,28,46,0.065,0.043,0.283,0.609,"[6, 2, 7, 0, 2, 32]",Too_Noisy,Too_Noisy,None
847,GRB141031A,GRB141031A_617110.png,18,15,9,7,49,0.367,0.306,0.184,0.143,"[21, 9, 10, 0, 6, 17]",None,None,None
848,GRB141031B,GRB141031B_617149.png,1,1,12,2,16,0.062,0.062,0.75,0.125,"[6, 4, 6, 0, 3, 6]",Other,Other,Other
849,GRB141102A,,24,4,15,4,47,0.511,0.085,0.319,0.085,"[13, 16, 2, 0, 11, 16]",None,None,None
850,GRB141109A,GRB141109A_618024.png,5,5,15,2,27,0.185,0.185,0.556,0.074,"[14, 8, 11, 0, 3, 5]",Other,None,None
851,GRB141109B,GRB141109B_618032.png,3,2,12,28,45,0.067,0.044,0.267,0.622,"[8, 1, 6, 0, 2, 34]",Too_Noisy,Too_Noisy,None
