,Burst_Name,Burst_PNG,Simple,Extended,Other,Too_Noisy,Count,Simple_Proportion,Extended_Proportion,Other_Proportion,Too_Noisy_Proportion,Follow,95%_Verify,99%_Verify,Prop_Verify
925,GRB151027A,GRB151027A_661775.png,3,24,19,5,51,0.059,0.471,0.373,0.098,"[30, 10, 21, 0, 2, 7]",Extended,Extended,None
926,GRB151027B,GRB151027B_661869.png,13,10,19,5,47,0.277,0.213,0.404,0.106,"[19, 5, 21, 0, 3, 9]",None,None,None
927,GRB151029A,GRB151029A_662086.png,28,18,3,2,51,0.549,0.353,0.059,0.039,"[6, 34, 10, 0, 3, 5]",Extended,None,None
928,GRB151031A,GRB151031A_662330.png,15,1,0,1,17,0.882,0.059,0.0,0.059,"[11, 2, 1, 0, 1, 2]",Simple,Simple,Simple
929,GRB151111A,GRB151111A_663074.png,20,19,3,2,44,0.455,0.432,0.068,0.045,"[2, 34, 4, 0, 2, 4]",Extended,None,Simple/Extended
930,GRB151112A,GRB151112A_663179.png,3,13,3,0,19,0.158,0.684,0.158,0.0,"[0, 16, 9, 0, 0, 1]",Extended,Extended,None
931,GRB151114A,GRB151114A_663490.png,14,1,4,0,19,0.737,0.053,0.211,0.0,"[14, 0, 4, 0, 2, 2]",Simple,None,Simple
932,GRB151118A,GRB151118A_664078.png,7,11,22,3,43,0.163,0.256,0.512,0.07,"[10, 18, 24, 0, 2, 5]",Other,None,None
933,GRB151127A,GRB151127A_665268.png,12,0,1,2,15,0.8,0.0,0.067,0.133,"[10, 1, 0, 0, 2, 4]",Simple,Simple,Simple
934,GRB151205A,GRB151205A_666352.png,11,16,6,7,40,0.275,0.4,0.15,0.175,"[2, 21, 14, 0, 0, 7]",Extended,None,None
935,GRB151205B,GRB151205B_666378.png,13,2,1,1,17,0.765,0.118,0.059,0.059,"[12, 4, 1, 0, 1, 2]",Simple,None,Simple
936,GRB151210A,GRB151210A_666931.png,0,1,12,0,13,0.0,0.077,0.923,0.0,"[9, 0, 7, 0, 1, 1]",Other,Other,Other
937,GRB151215A,GRB151215A_667392.png,3,3,16,4,26,0.115,0.115,0.615,0.154,"[3, 14, 5, 0, 2, 7]",Other,None,None
938,GRB151228A,GRB151228A_668543.png,13,0,0,0,13,1.0,0.0,0.0,0.0,"[10, 1, 0, 0, 1, 2]",Simple,Simple,Simple
939,GRB151228B,GRB151228B_668641.png,19,19,5,5,48,0.396,0.396,0.104,0.104,"[7, 31, 8, 0, 2, 7]",Extended,None,None
940,GRB151229A,GRB151229A_668689.png,11,1,0,0,12,0.917,0.083,0.0,0.0,"[8, 3, 1, 0, 0, 0]",Simple,Simple,Simple
941,GRB160104A,GRB160104A_669319.png,3,21,20,3,47,0.064,0.447,0.426,0.064,"[13, 18, 20, 0, 2, 5]",Extended,Extended,Extended/Other
942,GRB160117A,GRB160117A_670793.png,2,3,13,2,20,0.1,0.15,0.65,0.1,"[12, 1, 5, 0, 2, 4]",Other,Other,None
943,GRB160117B,GRB160117B_670800.png,23,10,9,3,45,0.511,0.222,0.2,0.067,"[15, 20, 4, 0, 4, 7]",None,None,None
944,GRB160119A,GRB160119A_671014.png,27,0,9,3,39,0.692,0.0,0.231,0.077,"[33, 2, 8, 0, 0, 3]",Simple,None,None
945,GRB160121A,GRB160121A_671231.png,18,6,2,3,29,0.621,0.207,0.069,0.103,"[13, 12, 4, 0, 0, 3]",Simple,None,None
946,GRB160123A,GRB160123A_671447.png,15,0,0,0,15,1.0,0.0,0.0,0.0,"[14, 0, 1, 0, 0, 0]",Simple,Simple,Simple
947,GRB160127A,GRB160127A_671828.png,14,4,12,2,32,0.438,0.125,0.375,0.062,"[17, 3, 11, 0, 2, 4]",None,None,None
948,GRB160131A,GRB160131A_672236.png,19,31,2,3,55,0.345,0.564,0.036,0.055,"[13, 32, 7, 0, 2, 6]",Extended,Extended,None
949,GRB160203A,GRB160203A_672525.png,15,11,18,5,49,0.306,0.224,0.367,0.102,"[18, 9, 17, 0, 4, 9]",None,None,None
950,GRB160216A,GRB160216A_673978.png,14,14,21,3,52,0.269,0.269,0.404,0.058,"[20, 15, 25, 0, 0, 3]",None,None,None
951,GRB160220A,GRB160220A_674670.png,20,8,14,3,45,0.444,0.178,0.311,0.067,"[19, 7, 15, 0, 3, 6]",None,None,None
952,GRB160220B,GRB160220B_674734.png,13,2,1,0,16,0.812,0.125,0.062,0.0,"[12, 5, 2, 0, 1, 1]",Simple,Simple,Simple
953,GRB160223A,GRB160223A_675361.png,1,0,11,0,12,0.083,0.0,0.917,0.0,"[8, 4, 8, 0, 0, 0]",Other,Other,Other
954,GRB160225A,GRB160225A_675998.png,3,6,17,24,50,0.06,0.12,0.34,0.48,"[5, 4, 16, 0, 5, 31]",Too_Noisy,Too_Noisy,None
955,GRB160227A,GRB160227A_676423.png,3,11,30,11,55,0.055,0.2,0.545,0.2,"[7, 24, 27, 0, 1, 12]",Other,None,None
956,GRB160228A,GRB160228A_676595.png,0,14,3,3,20,0.0,0.7,0.15,0.15,"[2, 11, 11, 0, 1, 5]",Extended,Extended,Extended
957,GRB160303A,GRB160303A_677495.png,29,9,3,2,43,0.674,0.209,0.07,0.047,"[31, 6, 5, 0, 0, 2]",Simple,None,None
958,GRB160313A,GRB160313A_678929.png,4,6,19,22,51,0.078,0.118,0.373,0.431,"[11, 4, 16, 0, 4, 27]",Too_Noisy,None,None
959,GRB160314A,GRB160314A_679120.png,10,2,2,2,16,0.625,0.125,0.125,0.125,"[4, 9, 3, 0, 1, 3]",Simple,None,None
960,GRB160321A,GRB160321A_680017.png,16,10,16,14,56,0.286,0.179,0.286,0.25,"[17, 3, 21, 0, 3, 19]",None,None,None
961,GRB160325A,GRB160325A_680436.png,4,15,32,4,55,0.073,0.273,0.582,0.073,"[31, 6, 32, 0, 0, 4]",Other,None,None
962,GRB160327A,GRB160327A_680655.png,14,18,4,2,38,0.368,0.474,0.105,0.053,"[13, 21, 6, 0, 1, 4]",Extended,Extended,None
963,GRB160408A,GRB160408A_682059.png,13,1,0,0,14,0.929,0.071,0.0,0.0,"[11, 1, 2, 0, 3, 3]",Simple,Simple,Simple
964,GRB160409A,,13,0,20,10,43,0.302,0.0,0.465,0.233,"[6, 5, 4, 0, 18, 29]",None,None,None
965,GRB160410A,GRB160410A_682269.png,27,18,0,5,50,0.54,0.36,0.0,0.1,"[26, 4, 11, 0, 7, 13]",Extended,None,None
966,GRB160411A,GRB160411A_682339.png,14,1,1,2,18,0.778,0.056,0.056,0.111,"[11, 0, 3, 0, 3, 5]",Simple,Simple,Simple
967,GRB160412A,GRB160412A_682522.png,40,7,10,5,62,0.645,0.113,0.161,0.081,"[30, 18, 14, 0, 4, 9]",Simple,None,None
968,GRB160417A,GRB160417A_683076.png,9,8,21,10,48,0.188,0.167,0.438,0.208,"[17, 5, 18, 0, 2, 14]",None,None,None
969,GRB160419A,GRB160419A_683383.png,11,0,0,0,11,1.0,0.0,0.0,0.0,"[11, 0, 0, 0, 0, 0]",Simple,Simple,Simple
970,GRB160424A,GRB160424A_683906.png,15,5,1,0,21,0.714,0.238,0.048,0.0,"[4, 16, 2, 0, 0, 0]",Simple,None,Simple
971,GRB160425A,GRB160425A_684098.png,10,17,18,3,48,0.208,0.354,0.375,0.062,"[23, 26, 14, 0, 1, 5]",Extended,None,None
972,GRB160504A,GRB160504A_685124.png,7,6,17,12,42,0.167,0.143,0.405,0.286,"[11, 9, 17, 0, 4, 16]",None,None,None
973,GRB160506A,GRB160506A_685245.png,1,5,3,15,24,0.042,0.208,0.125,0.625,"[2, 3, 2, 0, 1, 18]",Too_Noisy,Too_Noisy,None
974,GRB160519A,GRB160519A_686818.png,1,13,3,3,20,0.05,0.65,0.15,0.15,"[7, 6, 8, 0, 0, 4]",Extended,Extended,None
975,GRB160525B,GRB160525B_687522.png,15,0,2,1,18,0.833,0.0,0.111,0.056,"[13, 2, 0, 0, 2, 3]",Simple,Simple,Simple
976,GRB160601A,GRB160601A_688452.png,15,0,4,2,21,0.714,0.0,0.19,0.095,"[14, 1, 1, 0, 3, 5]",Simple,None,Simple
977,GRB160607A,GRB160607A_689597.png,2,0,12,0,14,0.143,0.0,0.857,0.0,"[7, 4, 9, 0, 0, 0]",Other,Other,Other
978,GRB160611A,GRB160611A_690598.png,18,3,18,3,42,0.429,0.071,0.429,0.071,"[25, 9, 16, 0, 1, 4]",None,None,Simple/Other
979,GRB160624A,GRB160624A_701288.png,14,0,2,4,20,0.7,0.0,0.1,0.2,"[14, 0, 0, 0, 1, 5]",Simple,None,Simple
980,GRB160625A,GRB160625A_701503.png,3,11,30,3,47,0.064,0.234,0.638,0.064,"[27, 8, 29, 0, 1, 4]",Other,Other,None
981,GRB160630A,GRB160630A_702252.png,3,13,2,0,18,0.167,0.722,0.111,0.0,"[1, 14, 4, 0, 0, 0]",Extended,Extended,Extended
982,GRB160703A,GRB160703A_702699.png,2,3,11,3,19,0.105,0.158,0.579,0.158,"[7, 4, 13, 0, 1, 4]",Other,None,None
983,GRB160705B,GRB160705B_703176.png,3,4,8,30,45,0.067,0.089,0.178,0.667,"[5, 5, 8, 0, 2, 32]",Too_Noisy,Too_Noisy,None
984,GRB160712A,GRB160712A_704155.png,5,17,3,0,25,0.2,0.68,0.12,0.0,"[3, 17, 8, 0, 0, 0]",Extended,Extended,None
985,GRB160714A,GRB160714A_704310.png,12,0,1,1,14,0.857,0.0,0.071,0.071,"[10, 0, 1, 0, 2, 3]",Simple,Simple,Simple
986,GRB160716A,GRB160716A_704572.png,2,2,11,0,15,0.133,0.133,0.733,0.0,"[10, 1, 7, 0, 1, 1]",Other,Other,Other
987,GRB160726A,GRB160726A_706052.png,13,0,0,0,13,1.0,0.0,0.0,0.0,"[11, 1, 0, 0, 1, 1]",Simple,Simple,Simple
988,GRB160801A,GRB160801A_706871.png,12,0,1,0,13,0.923,0.0,0.077,0.0,"[12, 1, 1, 0, 2, 2]",Simple,Simple,Simple
989,GRB160804A,GRB160804A_707231.png,24,9,11,4,48,0.5,0.188,0.229,0.083,"[27, 12, 12, 0, 2, 8]",None,None,None
990,GRB160815A,GRB160815A_708598.png,35,3,10,3,51,0.686,0.059,0.196,0.059,"[30, 5, 13, 0, 4, 7]",Simple,None,None
991,GRB160821A,GRB160821A_709351.png,1,3,16,1,21,0.048,0.143,0.762,0.048,"[7, 14, 14, 0, 0, 2]",Other,Other,Other
992,GRB160821B,GRB160821B_709357.png,16,0,0,1,17,0.941,0.0,0.0,0.059,"[13, 2, 1, 0, 1, 2]",Simple,Simple,Simple
993,GRB160824A,GRB160824A_709765.png,4,20,14,3,41,0.098,0.488,0.341,0.073,"[5, 15, 29, 0, 1, 5]",Extended,Extended,None
994,GRB160826A,GRB160826A_709907.png,9,18,10,18,55,0.164,0.327,0.182,0.327,"[5, 13, 21, 0, 3, 22]",None,None,None
995,GRB160827A,GRB160827A_710050.png,14,6,22,10,52,0.269,0.115,0.423,0.192,"[18, 7, 12, 0, 5, 17]",None,None,None
996,GRB160905A,GRB160905A_711084.png,10,13,23,3,49,0.204,0.265,0.469,0.061,"[18, 9, 26, 0, 3, 6]",None,None,None
997,GRB160912A,GRB160912A_711914.png,8,9,15,2,34,0.235,0.265,0.441,0.059,"[6, 27, 3, 0, 2, 6]",None,None,None
998,GRB160917A,GRB160917A_712505.png,20,15,4,5,44,0.455,0.341,0.091,0.114,"[5, 30, 6, 0, 0, 5]",Extended,None,None
999,GRB160927A,GRB160927A_713782.png,11,0,0,1,12,0.917,0.0,0.0,0.083,"[10, 0, 0, 0, 1, 2]",Simple,Simple,Simple
1000,GRB161001A,GRB161001A_714404.png,11,0,0,0,11,1.0,0.0,0.0,0.0,"[11, 0, 0, 0, 0, 0]",Simple,Simple,Simple
1001,GRB161004A,GRB161004A_715084.png,13,0,0,0,13,1.0,0.0,0.0,0.0,"[6, 4, 0, 0, 3, 3]",Simple,Simple,Simple
1002,GRB161004B,GRB161004B_715246.png,31,17,3,2,53,0.585,0.321,0.057,0.038,"[15, 28, 7, 0, 4, 6]",Simple,None,None
1003,GRB161007A,GRB161007A_716127.png,13,18,5,16,52,0.25,0.346,0.096,0.308,"[4, 25, 9, 0, 0, 20]",Extended,None,None
1004,GRB161011A,GRB161011A_716876.png,15,1,1,5,22,0.682,0.045,0.045,0.227,"[7, 4, 3, 0, 2, 8]",Simple,None,None
1005,GRB161014A,GRB161014A_717500.png,1,3,14,2,20,0.05,0.15,0.7,0.1,"[6, 4, 12, 0, 0, 3]",Other,Other,Other
1006,GRB161017A,GRB161017A_718023.png,13,31,12,0,56,0.232,0.554,0.214,0.0,"[21, 13, 24, 0, 7, 7]",Extended,Extended,None
1007,GRB161022A,GRB161022A_718655.png,25,10,10,4,49,0.51,0.204,0.204,0.082,"[21, 13, 18, 0, 1, 5]",None,None,None
1008,GRB161104A,GRB161104A_720568.png,13,1,19,17,50,0.26,0.02,0.38,0.34,"[10, 2, 6, 0, 15, 33]",None,None,None
1009,GRB161105A,GRB161105A_720697.png,0,2,12,0,14,0.0,0.143,0.857,0.0,"[3, 8, 6, 0, 1, 1]",Other,Other,Other
1010,GRB161108A,GRB161108A_721234.png,3,18,12,7,40,0.075,0.45,0.3,0.175,"[7, 16, 19, 0, 1, 9]",Extended,Extended,None
1011,GRB161113A,GRB161113A_722063.png,5,18,20,2,45,0.111,0.4,0.444,0.044,"[6, 31, 26, 0, 0, 3]",Extended,None,None
1012,GRB161117A,GRB161117A_722604.png,0,4,17,0,21,0.0,0.19,0.81,0.0,"[11, 11, 11, 0, 1, 1]",Other,Other,Other
1013,GRB161117B,GRB161117B_722642.png,2,4,16,0,22,0.091,0.182,0.727,0.0,"[14, 5, 16, 0, 2, 2]",Other,Other,Other
1014,GRB161129A,GRB161129A_724438.png,8,8,20,3,39,0.205,0.205,0.513,0.077,"[14, 9, 25, 0, 2, 5]",Other,None,None
1015,GRB161202A,GRB161202A_725036.png,1,6,21,1,29,0.034,0.207,0.724,0.034,"[17, 5, 18, 0, 2, 3]",Other,Other,Other
1016,GRB161214B,GRB161214B_726885.png,17,20,3,2,42,0.405,0.476,0.071,0.048,"[3, 36, 6, 0, 0, 2]",Extended,Extended,Simple/Extended
1017,GRB161217A,GRB161217A_727167.png,13,3,15,10,41,0.317,0.073,0.366,0.244,"[17, 2, 11, 0, 4, 14]",None,None,None
1018,GRB161218A,GRB161218A_727288.png,18,5,4,1,28,0.643,0.179,0.143,0.036,"[4, 22, 4, 0, 1, 2]",Simple,None,None
1019,GRB161219B,GRB161219B_727541.png,12,0,0,0,12,1.0,0.0,0.0,0.0,"[7, 6, 0, 0, 1, 1]",Simple,Simple,Simple
1020,GRB161220A,GRB161220A_727610.png,16,5,5,2,28,0.571,0.179,0.179,0.071,"[15, 2, 6, 0, 5, 7]",None,None,None
1021,GRB161224A,GRB161224A_728268.png,9,10,11,11,41,0.22,0.244,0.268,0.268,"[14, 10, 15, 0, 1, 12]",None,None,None
1022,GRB170101A,GRB170101A_729293.png,13,2,0,1,16,0.812,0.125,0.0,0.062,"[8, 7, 0, 0, 0, 1]",Simple,Simple,Simple
1023,GRB170111A,GRB170111A_731887.png,4,5,16,6,31,0.129,0.161,0.516,0.194,"[8, 1, 16, 0, 2, 8]",Other,None,None
1024,GRB170112A,GRB170112A_732188.png,16,3,13,15,47,0.34,0.064,0.277,0.319,"[12, 3, 2, 0, 11, 26]",None,None,None
1025,GRB170113A,GRB170113A_732526.png,2,13,20,5,40,0.05,0.325,0.5,0.125,"[13, 16, 19, 0, 0, 5]",Other,None,None
1026,GRB170115A,GRB170115A_733103.png,9,16,9,12,46,0.196,0.348,0.196,0.261,"[3, 19, 14, 0, 0, 14]",Extended,None,None
1027,GRB170126A,GRB170126A_735188.png,13,1,0,2,16,0.812,0.062,0.0,0.125,"[2, 11, 1, 0, 0, 2]",Simple,Simple,Simple
1028,GRB170127A,GRB170127A_735326.png,3,6,10,31,50,0.06,0.12,0.2,0.62,"[9, 1, 11, 0, 2, 33]",Too_Noisy,Too_Noisy,None
1029,GRB170127B,GRB170127B_735331.png,13,0,0,0,13,1.0,0.0,0.0,0.0,"[13, 0, 0, 0, 0, 0]",Simple,Simple,Simple
1030,GRB170202A,GRB170202A_736407.png,2,4,14,1,21,0.095,0.19,0.667,0.048,"[3, 10, 11, 0, 1, 2]",Other,Other,None
1031,GRB170203A,GRB170203A_736432.png,7,21,8,8,44,0.159,0.477,0.182,0.182,"[5, 22, 13, 0, 4, 12]",Extended,Extended,None
1032,GRB170205A,GRB170205A_736843.png,0,2,12,0,14,0.0,0.143,0.857,0.0,"[9, 7, 9, 0, 0, 0]",Other,Other,Other
1033,GRB170206B,GRB170206B_737125.png,8,12,9,16,45,0.178,0.267,0.2,0.356,"[5, 13, 9, 0, 4, 22]",Too_Noisy,None,None
1034,GRB170208A,GRB170208A_737438.png,15,22,9,5,51,0.294,0.431,0.176,0.098,"[11, 19, 15, 0, 5, 10]",Extended,None,None
1035,GRB170208B,GRB170208B_737463.png,20,19,11,1,51,0.392,0.373,0.216,0.02,"[35, 7, 13, 0, 3, 4]",Extended,None,None
1036,GRB170306A,GRB170306A_741220.png,6,4,20,17,47,0.128,0.085,0.426,0.362,"[11, 2, 15, 0, 4, 21]",Too_Noisy,None,None
1037,GRB170307A,GRB170307A_741528.png,8,12,11,16,47,0.17,0.255,0.234,0.34,"[13, 3, 9, 0, 3, 22]",None,None,None
1038,GRB170311A,GRB170311A_741965.png,3,5,17,5,30,0.1,0.167,0.567,0.167,"[9, 3, 12, 0, 4, 9]",Other,None,None
1039,GRB170317A,GRB170317A_742866.png,15,5,0,0,20,0.75,0.25,0.0,0.0,"[4, 15, 1, 0, 0, 0]",Simple,None,Simple
1040,GRB170318A,GRB170318A_743065.png,23,23,2,4,52,0.442,0.442,0.038,0.077,"[2, 42, 8, 0, 0, 4]",Extended,Extended,Simple/Extended
1041,GRB170318B,GRB170318B_743086.png,13,0,0,1,14,0.929,0.0,0.0,0.071,"[12, 1, 0, 0, 0, 1]",Simple,Simple,Simple
1042,GRB170330A,GRB170330A_744773.png,5,23,24,1,53,0.094,0.434,0.453,0.019,"[27, 21, 24, 0, 2, 3]",Extended,None,Extended/Other
1043,GRB170331A,GRB170331A_744791.png,13,9,14,8,44,0.295,0.205,0.318,0.182,"[15, 5, 19, 0, 4, 14]",None,None,None
1044,GRB170405A,GRB170405A_745797.png,3,26,13,4,46,0.065,0.565,0.283,0.087,"[15, 17, 26, 0, 0, 4]",Extended,Extended,None
1045,GRB170419A,GRB170419A_748898.png,12,2,1,1,16,0.75,0.125,0.062,0.062,"[1, 13, 0, 0, 1, 2]",Simple,None,Simple
1046,GRB170419B,GRB170419B_748947.png,16,27,2,4,49,0.327,0.551,0.041,0.082,"[15, 23, 10, 0, 2, 7]",Extended,Extended,None
1047,GRB170428A,GRB170428A_750298.png,14,0,1,0,15,0.933,0.0,0.067,0.0,"[15, 1, 0, 0, 0, 0]",Simple,Simple,Simple
1048,GRB170516A,GRB170516A_753110.png,4,14,23,3,44,0.091,0.318,0.523,0.068,"[15, 8, 32, 0, 0, 3]",Other,None,None
1049,GRB170519A,GRB170519A_753445.png,18,16,4,10,48,0.375,0.333,0.083,0.208,"[19, 6, 12, 0, 4, 16]",None,None,None
1050,GRB170524A,GRB170524A_754322.png,17,2,4,3,26,0.654,0.077,0.154,0.115,"[16, 2, 2, 0, 3, 6]",Simple,None,None
1051,GRB170526A,GRB170526A_754549.png,14,8,8,5,35,0.4,0.229,0.229,0.143,"[9, 12, 9, 0, 4, 9]",None,None,None
1052,GRB170531A,GRB170531A_755343.png,5,4,12,17,38,0.132,0.105,0.316,0.447,"[4, 6, 7, 0, 3, 21]",Too_Noisy,None,None
1053,GRB170531B,GRB170531B_755354.png,0,2,11,0,13,0.0,0.154,0.846,0.0,"[5, 8, 10, 0, 1, 1]",Other,Other,Other
1054,GRB170604A,GRB170604A_755867.png,1,1,9,2,13,0.077,0.077,0.692,0.154,"[3, 0, 9, 0, 0, 2]",Other,Other,None
1055,GRB170607A,GRB170607A_756284.png,11,16,24,1,52,0.212,0.308,0.462,0.019,"[29, 20, 17, 0, 0, 1]",None,None,None
1056,GRB170626A,GRB170626A_758766.png,25,13,10,4,52,0.481,0.25,0.192,0.077,"[12, 23, 18, 0, 2, 6]",None,None,None
1057,GRB170629A,GRB170629A_759159.png,17,20,8,3,48,0.354,0.417,0.167,0.062,"[10, 26, 13, 0, 1, 5]",Extended,None,None
1058,GRB170705A,GRB170705A_760064.png,18,18,12,5,53,0.34,0.34,0.226,0.094,"[29, 17, 16, 0, 1, 6]",Extended,None,None
1059,GRB170710A,GRB170710A_761119.png,8,19,11,11,49,0.163,0.388,0.224,0.224,"[4, 22, 13, 0, 3, 14]",Extended,None,None
1060,GRB170711A,GRB170711A_761622.png,14,3,3,0,20,0.7,0.15,0.15,0.0,"[7, 13, 2, 0, 0, 0]",Simple,None,Simple
1061,GRB170714A,GRB170714A_762535.png,0,1,2,13,16,0.0,0.062,0.125,0.812,"[0, 0, 2, 0, 0, 14]",Too_Noisy,Too_Noisy,Too_Noisy
1062,GRB170724A,GRB170724A_764204.png,1,3,15,30,49,0.02,0.061,0.306,0.612,"[3, 4, 12, 0, 3, 33]",Too_Noisy,Too_Noisy,None
1063,GRB170728A,GRB170728A_765008.png,13,2,0,1,16,0.812,0.125,0.0,0.062,"[13, 1, 2, 0, 0, 1]",Simple,Simple,Simple
1064,GRB170728B,GRB170728B_765130.png,14,18,7,2,41,0.341,0.439,0.171,0.049,"[19, 6, 12, 0, 5, 9]",Extended,None,None
1065,GRB170803A,GRB170803A_766081.png,10,1,3,1,15,0.667,0.067,0.2,0.067,"[4, 7, 3, 0, 0, 1]",Simple,None,None
1066,GRB170804A,GRB170804A_766194.png,5,23,20,7,55,0.091,0.418,0.364,0.127,"[4, 30, 24, 0, 3, 10]",Extended,None,None
1067,GRB170807A,GRB170807A_766821.png,3,27,18,3,51,0.059,0.529,0.353,0.059,"[5, 34, 18, 0, 2, 5]",Extended,Extended,None
1068,GRB170810A,GRB170810A_767284.png,1,15,14,12,42,0.024,0.357,0.333,0.286,"[5, 8, 20, 0, 2, 16]",Extended,None,None
1069,GRB170813A,GRB170813A_767563.png,1,12,2,0,15,0.067,0.8,0.133,0.0,"[1, 11, 6, 0, 0, 0]",Extended,Extended,Extended
1070,GRB170822A,GRB170822A_768939.png,0,4,16,3,23,0.0,0.174,0.696,0.13,"[12, 2, 11, 0, 1, 4]",Other,Other,None
1071,GRB170823A,GRB170823A_769177.png,0,2,11,0,13,0.0,0.154,0.846,0.0,"[5, 5, 10, 0, 0, 0]",Other,Other,Other
1072,GRB170827A,GRB170827A_769567.png,5,10,8,24,47,0.106,0.213,0.17,0.511,"[5, 4, 6, 0, 4, 31]",Too_Noisy,Too_Noisy,None
1073,GRB170903A,GRB170903A_770528.png,3,4,14,2,23,0.13,0.174,0.609,0.087,"[10, 8, 8, 0, 1, 3]",Other,None,None
1074,GRB170906A,GRB170906A_770957.png,1,6,23,1,31,0.032,0.194,0.742,0.032,"[13, 14, 14, 0, 1, 2]",Other,Other,Other
1075,GRB170906B,GRB170906B_770958.png,0,1,36,14,51,0.0,0.02,0.706,0.275,"[0, 2, 2, 0, 33, 48]",Other,Other,Other
1076,GRB170906C,GRB170906C_770981.png,24,9,14,3,50,0.48,0.18,0.28,0.06,"[30, 4, 23, 0, 1, 5]",None,None,None
1077,GRB170912A,GRB170912A_772006.png,16,14,8,4,42,0.381,0.333,0.19,0.095,"[5, 28, 9, 0, 0, 4]",None,None,None
1078,GRB170912B,GRB170912B_772052.png,3,11,3,1,18,0.167,0.611,0.167,0.056,"[0, 13, 9, 0, 0, 1]",Extended,Extended,None
1079,GRB170921A,GRB170921A_773509.png,32,2,13,2,49,0.653,0.041,0.265,0.041,"[39, 2, 10, 0, 3, 5]",Simple,None,None
1080,GRB171001A,GRB171001A_775553.png,1,3,13,2,19,0.053,0.158,0.684,0.105,"[11, 3, 10, 0, 1, 3]",Other,Other,None
1081,GRB171004A,GRB171004A_776347.png,7,13,15,12,47,0.149,0.277,0.319,0.255,"[4, 17, 16, 0, 5, 17]",None,None,None
1082,GRB171007A,GRB171007A_777215.png,23,16,5,14,58,0.397,0.276,0.086,0.241,"[23, 7, 8, 0, 4, 23]",None,None,None
1083,GRB171011A,GRB171011A_778154.png,15,0,0,0,15,1.0,0.0,0.0,0.0,"[13, 2, 0, 0, 0, 0]",Simple,Simple,Simple
1084,GRB171020A,GRB171020A_780845.png,6,16,12,12,46,0.13,0.348,0.261,0.261,"[2, 14, 17, 0, 5, 17]",Extended,None,None
1085,GRB171027A,GRB171027A_783479.png,17,9,25,6,57,0.298,0.158,0.439,0.105,"[20, 13, 34, 0, 1, 7]",None,None,None
1086,GRB171102B,GRB171102B_785510.png,19,5,16,10,50,0.38,0.1,0.32,0.2,"[15, 4, 15, 0, 4, 20]",None,None,None
1087,GRB171103A,GRB171103A_785850.png,19,1,2,0,22,0.864,0.045,0.091,0.0,"[16, 5, 1, 0, 1, 1]",Simple,Simple,Simple
1088,GRB171115A,GRB171115A_790053.png,5,16,13,18,52,0.096,0.308,0.25,0.346,"[8, 8, 17, 0, 5, 25]",None,None,None
1089,GRB171120A,GRB171120A_791201.png,0,1,11,0,12,0.0,0.083,0.917,0.0,"[7, 7, 3, 0, 0, 0]",Other,Other,Other
1090,GRB171123A,GRB171123A_791922.png,12,21,5,5,43,0.279,0.488,0.116,0.116,"[2, 29, 6, 0, 0, 7]",Extended,Extended,None
1091,GRB171205A,GRB171205A_794972.png,5,14,6,26,51,0.098,0.275,0.118,0.51,"[2, 10, 11, 0, 3, 33]",Too_Noisy,Too_Noisy,None
1092,GRB171209A,GRB171209A_796100.png,4,12,25,8,49,0.082,0.245,0.51,0.163,"[5, 27, 27, 0, 2, 10]",Other,None,None
1093,GRB171211A,GRB171211A_796469.png,14,0,0,0,14,1.0,0.0,0.0,0.0,"[11, 3, 1, 0, 0, 1]",Simple,Simple,Simple
1094,GRB171212A,GRB171212A_796778.png,7,11,24,15,57,0.123,0.193,0.421,0.263,"[16, 5, 22, 0, 5, 23]",None,None,None
1095,GRB171216A,GRB171216A_797441.png,12,16,10,5,43,0.279,0.372,0.233,0.116,"[8, 17, 14, 0, 4, 9]",Extended,None,None
1096,GRB171222A,GRB171222A_799669.png,4,5,16,25,50,0.08,0.1,0.32,0.5,"[7, 8, 18, 0, 3, 29]",Too_Noisy,Too_Noisy,None
1097,GRB180102A,GRB180102A_802999.png,28,6,11,4,49,0.571,0.122,0.224,0.082,"[28, 4, 11, 0, 5, 9]",None,None,None
1098,GRB180111A,GRB180111A_804692.png,10,15,17,5,47,0.213,0.319,0.362,0.106,"[4, 25, 22, 0, 0, 6]",None,None,None
1099,GRB180113A,GRB180113A_804999.png,16,19,9,4,48,0.333,0.396,0.188,0.083,"[23, 14, 18, 0, 0, 4]",Extended,None,None
1100,GRB180115A,GRB180115A_805318.png,0,1,16,4,21,0.0,0.048,0.762,0.19,"[12, 3, 9, 0, 1, 6]",Other,Other,Other
1101,GRB180204A,GRB180204A_808483.png,11,0,0,0,11,1.0,0.0,0.0,0.0,"[9, 1, 1, 0, 0, 0]",Simple,Simple,Simple
1102,GRB180205A,GRB180205A_808625.png,1,2,15,0,18,0.056,0.111,0.833,0.0,"[11, 8, 7, 0, 0, 0]",Other,Other,Other
1103,GRB180221A,GRB180221A_811074.png,15,11,8,8,42,0.357,0.262,0.19,0.19,"[9, 16, 10, 0, 5, 14]",None,None,None
1104,GRB180222A,GRB180222A_811235.png,2,14,1,0,17,0.118,0.824,0.059,0.0,"[2, 13, 5, 0, 0, 2]",Extended,Extended,Extended
