Burst_Name,Burst_PNG,Simple,Extended,Other,Too_Noisy,Follow
GRB050915A,GRB050915A_155242.png,5,13,18,7,"[6, 7, 26, 0, 1, 9]"
GRB050915B,GRB050915B_155284.png,7,22,10,4,"[7, 26, 20, 0, 1, 5]"
GRB050916,GRB050916_155408.png,4,2,17,21,"[8, 3, 14, 0, 1, 23]"
GRB050922B,GRB050922B_156434.png,1,2,3,14,"[3, 2, 4, 0, 0, 14]"
GRB050922C,GRB050922C_156467.png,11,1,0,0,"[10, 0, 1, 0, 0, 0]"
GRB050925,GRB050925_156838.png,13,0,2,0,"[12, 1, 0, 0, 2, 2]"
GRB051001,GRB051001_157870.png,5,4,19,21,"[14, 3, 15, 0, 2, 24]"
GRB051006,GRB051006_158593.png,12,11,22,6,"[17, 8, 23, 0, 4, 10]"
GRB051008,GRB051008_158855.png,14,7,19,4,"[26, 8, 20, 0, 2, 6]"
GRB051016A,GRB051016A_159913.png,10,21,12,5,"[20, 9, 16, 0, 1, 6]"
GRB051016B,GRB051016B_159994.png,16,1,5,1,"[6, 9, 9, 0, 3, 4]"
GRB051021B,GRB051021B_160672.png,1,8,1,1,"[0, 9, 2, 0, 0, 1]"
GRB051105A,GRB051105A_162580.png,14,0,3,2,"[11, 0, 1, 0, 5, 7]"
GRB051109A,GRB051109A_163136.png,15,19,10,3,"[26, 10, 16, 0, 1, 4]"
GRB051109B,GRB051109B_163170.png,17,4,5,0,"[16, 3, 9, 0, 3, 3]"
GRB051111,GRB051111_163438.png,28,27,0,6,"[4, 50, 5, 0, 0, 6]"
GRB051113,GRB051113_163765.png,2,4,17,3,"[11, 7, 9, 0, 3, 6]"
GRB051117A,GRB051117A_164268.png,7,21,10,9,"[5, 21, 17, 0, 3, 13]"
GRB051117B,GRB051117B_164279.png,11,7,11,15,"[9, 4, 17, 0, 4, 20]"
GRB051210,GRB051210_171931.png,11,0,0,0,"[9, 2, 0, 0, 0, 0]"
GRB051213,GRB051213_172516.png,2,6,23,19,"[15, 7, 13, 0, 2, 22]"
GRB051221A,GRB051221A_173780.png,15,0,0,0,"[9, 5, 0, 0, 1, 1]"
GRB051221B,GRB051221B_173904.png,2,5,11,23,"[4, 4, 12, 0, 3, 26]"
GRB051227,GRB051227_174738.png,12,26,3,2,"[10, 20, 9, 0, 0, 6]"
GRB060102,GRB060102_175603.png,12,8,15,3,"[12, 14, 13, 0, 2, 5]"
GRB060105,GRB060105_175942.png,0,6,19,1,"[12, 11, 15, 0, 2, 3]"
GRB060108,GRB060108_176453.png,21,14,8,1,"[25, 13, 9, 0, 2, 3]"
GRB060109,GRB060109_176620.png,1,1,15,5,"[9, 7, 6, 0, 1, 8]"
GRB060110,GRB060110_176702.png,22,20,5,3,"[2, 43, 5, 0, 0, 3]"
GRB060111A,GRB060111A_176818.png,17,3,1,0,"[11, 8, 3, 0, 1, 1]"
GRB060111B,GRB060111B_176918.png,2,23,24,3,"[7, 42, 22, 0, 1, 4]"
GRB060115,GRB060115_177408.png,0,3,12,0,"[12, 1, 3, 0, 0, 0]"
GRB060116,GRB060116_177533.png,15,8,12,14,"[11, 5, 18, 0, 2, 16]"
GRB060117,GRB060117_177666.png,0,4,16,0,"[12, 5, 6, 0, 1, 1]"
GRB060124,GRB060124_178750.png,2,1,11,1,"[4, 3, 11, 0, 0, 1]"
GRB060202,GRB060202_179968.png,0,8,17,23,"[12, 3, 16, 0, 3, 26]"
GRB060203,GRB060203_180151.png,3,2,3,14,"[3, 0, 5, 0, 0, 14]"
GRB060204B,GRB060204B_180241.png,20,21,2,4,"[27, 12, 10, 0, 0, 4]"
GRB060206,GRB060206_180455.png,15,4,2,1,"[8, 12, 0, 0, 1, 2]"
GRB060210,GRB060210_180977.png,2,2,11,1,"[8, 1, 10, 0, 1, 2]"
GRB060211A,GRB060211A_181126.png,1,6,15,18,"[7, 9, 14, 0, 1, 19]"
GRB060211B,GRB060211B_181156.png,17,8,18,6,"[25, 9, 15, 0, 3, 9]"
GRB060219,GRB060219_191512.png,5,3,17,23,"[11, 3, 15, 0, 2, 26]"
GRB060223A,GRB060223A_192059.png,15,17,12,7,"[11, 15, 22, 0, 2, 9]"
GRB060223B,GRB060223B_192152.png,18,3,26,2,"[19, 3, 22, 0, 8, 10]"
GRB060306,GRB060306_200638.png,1,4,15,2,"[6, 12, 7, 0, 0, 2]"
GRB060312,GRB060312_201391.png,3,3,14,0,"[14, 4, 13, 0, 1, 1]"
GRB060313,GRB060313_201487.png,11,0,0,0,"[10, 3, 0, 0, 0, 0]"
GRB060319,GRB060319_202035.png,17,13,12,3,"[18, 15, 20, 0, 1, 4]"
GRB060322,GRB060322_202442.png,0,3,12,0,"[11, 3, 9, 0, 0, 0]"
GRB060323,GRB060323_202505.png,1,5,16,2,"[13, 5, 12, 0, 1, 3]"
GRB060403,GRB060403_203755.png,15,24,4,6,"[4, 35, 10, 0, 0, 6]"
GRB060413,GRB060413_205096.png,23,4,10,3,"[27, 3, 13, 0, 1, 4]"
GRB060418,GRB060418_205851.png,1,4,13,0,"[7, 1, 12, 0, 1, 1]"
GRB060421,GRB060421_206257.png,9,13,21,5,"[22, 6, 21, 0, 3, 8]"
GRB060424,GRB060424_206773.png,11,18,20,2,"[24, 4, 27, 0, 3, 5]"
GRB060427,GRB060427_207281.png,4,8,7,25,"[2, 8, 8, 0, 3, 28]"
GRB060428A,GRB060428A_207364.png,7,11,19,3,"[26, 4, 16, 0, 1, 4]"
GRB060428B,GRB060428B_207399.png,12,9,10,16,"[14, 6, 12, 0, 3, 20]"
GRB060501,GRB060501_208050.png,15,13,11,3,"[12, 22, 14, 0, 0, 3]"
GRB060502A,GRB060502A_208169.png,25,13,5,1,"[16, 29, 6, 0, 1, 2]"
GRB060502B,GRB060502B_208275.png,16,1,5,2,"[16, 0, 1, 0, 4, 6]"
GRB060507,GRB060507_208870.png,2,15,5,0,"[6, 18, 9, 0, 1, 1]"
